round,round,loss,accuracy,precision,recall,f1_score,false_positive_rate,false_negative_rate
1,1,0.3473967271249585,0.9793848790706532,0.9604346358120589,1.0,0.9798070358220743,0.04121833018131744,0.0
2,2,0.21498252681364285,0.9788465186871561,0.959480201513475,1.0,0.9793013955565676,0.042298657149154054,0.0
3,3,0.15373219589224754,0.9791854345455407,0.960097217496236,1.0,0.979625248138466,0.041623692435357164,0.0
4,4,0.13052244368249477,0.978728455438963,0.9593380305982344,0.9999050377474954,0.979184579747934,0.042442282439302564,9.49622525046294e-05
5,5,0.11981511841716656,0.9783249358304021,0.9585080733992621,1.0,0.9787971984564898,0.043338235912557824,0.0
6,6,0.11212999778665872,0.9787021630615641,0.9592108208473015,1.0,0.9791615993733982,0.04258567773153145,0.0
7,7,0.10787893728501327,0.9786456603236369,0.9591003737885887,1.0,0.9791057233909013,0.04269870123298838,0.0
8,8,0.10257272147885188,0.9793789884750929,0.9604506502408269,1.0,0.9798085706183401,0.041230107968777574,0.0
9,9,0.10064733852806221,0.9793706626105143,0.960416127893713,1.0,0.9797954289804444,0.041246782352333464,0.0
10,10,0.10249253925925109,0.9783578547698148,0.9585606510113583,1.0,0.9788266570418224,0.043272416095319954,0.0
