round,round,loss,accuracy,precision,recall,f1_score,false_positive_rate,false_negative_rate
1,1,5012873313988486.0,0.5560970327052198,0.42888784509861144,0.9998375568551007,0.6002723679980071,0.6657735663813779,0.00016244314489928524
2,2,7776969470328.142,0.7686268139484513,0.6082980884967274,0.8596489777908052,0.7124121855909502,0.27688375983417596,0.14035102220919482
3,3,11950511432.047499,0.9702187567684644,0.9482224902376073,0.9632869854783545,0.9556706420802136,0.026315524661904042,0.036713014521645534
4,4,492376099.54994196,0.9677279618800086,0.9577145252431039,0.9449294695984424,0.9512421757489817,0.020873685573749707,0.05507053040155763
5,5,462750449.2124388,0.9713558587827593,0.9521330908352702,0.962474769753858,0.9572540975726265,0.024203751294676716,0.03752523024614196
6,6,452463724.44950336,0.9739008013861815,0.9592385319185806,0.9626371529093536,0.9609083771256254,0.020467494464172016,0.03736284709064634
7,7,440960304.0650324,0.9732510288065843,0.9622984803751642,0.9572763555993021,0.9597610838423353,0.018761825490615433,0.04272364440069785
8,8,428962460.906953,0.9729261425167858,0.9598681236719872,0.9589010337498338,0.9593558030467876,0.020061407375779234,0.04109896625016625
9,9,418143811.50578725,0.9748754602555773,0.959953855725462,0.9649116627224033,0.9623993387309233,0.02014260813819238,0.03508833727759686
10,10,407343728.52393585,0.9746047216807451,0.959920717662071,0.9640994447073679,0.9619777323550998,0.020142628948228877,0.0359005552926321
